Hu0,a,raw_sleep_period,sleep_period
0.626315789,0.041176471,20.5769375,20.56879514
0.626315789,0.051764706,20.549375,20.56879514
0.626315789,0.062352941,20.56425,20.56879514
0.626315789,0.072941176,20.580875,20.56879514
0.626315789,0.083529412,20.56675,20.56879514
0.626315789,0.094117647,20.552125,20.56879514
0.626315789,0.104705882,20.5658125,20.56879514
0.626315789,0.115294118,20.5475,20.56879514
0.626315789,0.125882353,20.5954375,20.56879514
0.626315789,0.136470588,20.562,20.56879514
0.626315789,0.147058824,20.5864375,20.56879514
0.626315789,0.157647059,20.5955,20.56879514
0.626315789,0.168235294,20.5600625,20.56879514
0.626315789,0.178823529,20.5544375,20.56879514
0.626315789,0.189411765,20.5781875,20.56879514
0.626315789,0.2,20.54975,20.56879514
0.626315789,0.2,20.54975,20.56879514
0.626315789,0.2,20.54975,20.56879514
0.647368421,0.02,21.449625,21.43852188
0.647368421,0.030588235,21.447875,21.43898264
0.647368421,0.041176471,21.4308125,21.43898264
0.647368421,0.051764706,21.463,21.43898264
0.647368421,0.062352941,21.4295625,21.43898264
0.647368421,0.072941176,21.4525625,21.43898264
0.647368421,0.083529412,21.4254375,21.43898264
0.647368421,0.094117647,21.4400625,21.43898264
0.647368421,0.104705882,21.4471875,21.43898264
0.647368421,0.115294118,21.4293125,21.43898264
0.647368421,0.125882353,21.4153125,21.43898264
0.647368421,0.136470588,21.445,21.43898264
0.647368421,0.147058824,21.42275,21.43898264
0.647368421,0.157647059,21.4348125,21.43898264
0.647368421,0.168235294,21.42825,21.43898264
0.647368421,0.178823529,21.4655,21.43898264
0.647368421,0.189411765,21.44025,21.43898264
0.647368421,0.2,21.434375,21.43898264
0.647368421,0.2,21.434375,21.43898264
0.647368421,0.2,21.434375,21.43898264
0.668421053,0.02,22.331625,22.31245625
0.668421053,0.030588235,22.2860625,22.31411111
0.668421053,0.041176471,22.29075,22.31411111
0.668421053,0.051764706,22.3279375,22.31411111
0.668421053,0.062352941,22.2955625,22.31411111
0.668421053,0.072941176,22.308625,22.31411111
0.668421053,0.083529412,22.3333125,22.31411111
0.668421053,0.094117647,22.3214375,22.31411111
0.668421053,0.104705882,22.3069375,22.31411111
0.668421053,0.115294118,22.2943125,22.31411111
0.668421053,0.125882353,22.32625,22.31411111
0.668421053,0.136470588,22.34025,22.31411111
0.668421053,0.147058824,22.3104375,22.31411111
0.668421053,0.157647059,22.3525625,22.31411111
0.668421053,0.168235294,22.3193125,22.31411111
0.668421053,0.178823529,22.27775,22.31411111
0.668421053,0.189411765,22.3333125,22.31411111
0.668421053,0.2,22.2975625,22.31411111
0.668421053,0.2,22.2975625,22.31411111
0.668421053,0.2,22.2975625,22.31411111
0.689473684,0.02,23.1760625,23.18447813
0.689473684,0.030588235,23.1790625,23.18446181
0.689473684,0.041176471,23.21075,23.18446181
0.689473684,0.051764706,23.207375,23.18446181
0.689473684,0.062352941,23.1536875,23.18446181
0.689473684,0.072941176,23.174625,23.18446181
0.689473684,0.083529412,23.22275,23.18446181
0.689473684,0.094117647,23.16725,23.18446181
0.689473684,0.104705882,23.193875,23.18446181
0.689473684,0.115294118,23.2006875,23.18446181
0.689473684,0.125882353,23.2079375,23.18446181
0.689473684,0.136470588,23.157875,23.18446181
0.689473684,0.147058824,23.1744375,23.18446181
0.689473684,0.157647059,23.18275,23.18446181
0.689473684,0.168235294,23.182875,23.18446181
0.689473684,0.178823529,23.1903125,23.18446181
0.689473684,0.189411765,23.153375,23.18446181
0.689473684,0.2,23.184625,23.18446181
0.689473684,0.2,23.184625,23.18446181
0.689473684,0.2,23.184625,23.18446181
0.710526316,0.02,24.0200625,24.03945313
0.710526316,0.030588235,24.0390625,24.03814931
0.710526316,0.041176471,24.053375,24.03814931
0.710526316,0.051764706,24.0349375,24.03814931
0.710526316,0.062352941,24.037,24.03814931
0.710526316,0.072941176,24.0276875,24.03814931
0.710526316,0.083529412,24.0235625,24.03814931
0.710526316,0.094117647,24.03125,24.03814931
0.710526316,0.104705882,24.0130625,24.03814931
0.710526316,0.115294118,24.059125,24.03814931
0.710526316,0.125882353,24.0768125,24.03814931
