Hu0,a,error,skew,median,duration,swp,r_value,p_value
0.508,0.004,67.11209949,0.1855056582,12.55,5.56666249,16.23029657,-0.004297955287,0.9317982009
0.508,0.008,66.40810157,0.2580359071,12.51,5.57047619,16.23784043,-0.02138459873,0.670205794
0.508,0.012,65.58372942,0.2937469517,12.46,5.573776107,16.23757728,-0.02223256087,0.6579418692
0.508,0.016,66.3488941,0.3068239777,12.51,5.57780284,16.24477861,-0.003497200402,0.9444821319
0.508,0.02,64.48074278,0.2389658988,12.39,5.585242272,16.22944862,-0.124415106,0.01288025523
0.508,0.024,66.64710087,0.2611742039,12.53,5.590183793,16.24225564,-0.004827422273,0.9234207272
0.508,0.028,68.4248205,0.204271553,12.64166667,5.602681704,16.22353383,0.006279455952,0.9004920876
0.508,0.032,64.3201217,0.3237651672,12.39,5.613279031,16.23755221,-0.01970982257,0.6946841271
0.508,0.036,68.28241066,0.2679967238,12.64,5.621015038,16.2370802,-0.09834808457,0.04963461235
0.508,0.04,68.35003077,0.3075322606,12.65,5.639356725,16.21666249,0.02242343569,0.6551937328
0.508,0.044,65.74064082,0.3065139761,12.49,5.655438596,16.259825,-0.08720930562,0.08188441369
0.508,0.048,69.50357951,0.245206516,12.725,5.666403509,16.25048454,-0.06741211122,0.1789935512
0.508,0.052,71.8440768,0.03990219007,12.86,5.682648287,16.22030911,-0.0129463876,0.7965586696
0.508,0.056,70.88182197,0.09552285408,12.81,5.704665831,16.22781955,-0.1175347822,0.01884741576
0.508,0.06,73.38191283,-0.001529238565,12.96,5.730685046,16.23284461,-0.1574779538,0.001602443615
0.508,0.064,75.90270796,-0.04409407342,13.11,5.748500418,16.25805764,-0.1706203361,0.0006203097638
0.508,0.068,73.35384111,0.0143677015,12.97,5.78128655,16.24511278,-0.1904191353,0.0001298428588
0.508,0.072,73.38164988,0.03521506203,12.98,5.815284043,16.23709273,-0.2046895691,3.80E-05
0.508,0.076,80.9586163,-0.1930842275,13.41,5.852719298,16.25356667,-0.2315056389,2.96E-06
0.508,0.08,78.53968632,-0.04889547963,13.29,5.886766917,16.21677527,-0.160533076,0.001293234114
0.508,0.084,79.68879407,-0.05521507339,13.36,5.911954887,16.27451963,-0.2514244992,3.61E-07
0.508,0.088,74.76949177,0.04689255001,13.09,5.956152882,16.2199457,-0.2816219414,1.04E-08
0.508,0.092,77.87210204,0.0462730203,13.28,6.008997494,16.20713033,-0.1284100063,0.01024116115
0.508,0.096,80.00438671,-0.05392980463,13.4,6.038233083,16.20675856,-0.2706248484,3.98E-08
0.508,0.1,84.8299558,0.133732101,13.69,6.091294904,16.22524227,-0.2967394564,1.49E-09
0.508,0.104,78.66120639,0.451065649,13.3625,6.137055138,16.2232122,-0.2181462002,1.10E-05
0.508,0.108,81.25405959,0.6111363406,13.52,6.200948204,16.25765664,-0.2813185268,1.08E-08
0.508,0.112,84.54422476,0.7043881646,13.71,6.258538012,16.24774018,-0.1728501528,0.0005243763556
0.508,0.116,83.92386378,0.6143793568,13.6875,6.341984127,16.22945698,-0.220404718,8.85E-06
0.508,0.12,84.94141772,0.4186106226,13.75,6.410956558,16.23619048,-0.1719181872,0.0005626616913
0.508,0.124,104.7124443,0.3553145299,14.78333333,6.524143693,16.23463241,-0.1912502118,0.0001211572715
0.508,0.128,98.77534273,0.1466915402,14.4875,6.601558062,16.22830827,-0.1839018924,0.0002212224292
0.508,0.132,126.2228116,-0.06077231436,15.7875,6.708776107,16.22949457,-0.1310319064,0.008781231362
0.508,0.136,140.5593928,-0.1539511402,16.4125,6.824874687,16.23379282,-0.07665906957,0.126336393
0.508,0.14,152.5318174,-0.3566388428,16.9,6.928458647,16.23209691,-0.1600497277,0.001338184531
0.508,0.144,187.2451975,-0.658140671,18.21875,7.061904167,16.23077277,-0.134202726,0.007191936155
0.508,0.148,263.4207194,-0.9885669106,20.75,7.2267335,16.2323726,-0.09386632154,0.0610361399
0.508,0.152,288.0021837,-1.267031519,21.46666667,7.321303258,16.23062239,-0.2129060654,1.80E-05
0.508,0.156,292.0433132,-1.442592382,21.56666667,7.442105263,16.24180451,-0.2349446927,2.09E-06
0.508,0.16,306.3102627,-1.430494423,21.98333333,7.584126984,16.22242272,-0.254498496,2.57E-07
0.508,0.164,317.834781,-1.380451686,22.31666667,7.679761905,16.22744361,-0.277201116,1.80E-08
0.508,0.168,321.9521336,-1.204862227,22.45,7.76852548,16.21360485,-0.3191818537,6.70E-11
0.508,0.172,321.4204074,-1.038500497,22.45,7.836487051,16.23973684,-0.3447153465,1.42E-12
0.508,0.176,309.2183399,-0.6832192746,22.13333333,7.892314119,16.25028404,-0.3695964025,2.32E-14
0.508,0.18,134.058512,-0.5102944548,16.11666667,7.938345865,16.24385547,-0.3559046712,2.33E-13
0.508,0.184,127.4290122,-0.1966897642,15.85,7.981453634,16.22513367,-0.3998468374,9.48E-17
0.508,0.188,13.6884251,0.1157836401,8.233333333,8.002840434,16.24312448,-0.4099197944,1.33E-17
0.508,0.192,12.22181109,0.4053506464,8.05,8.030492899,16.23533333,-0.4753832761,6.88E-24
0.508,0.196,8.72244179,0.6897495434,1.7,8.051712615,16.22736007,-0.4316196104,1.55E-19
0.508,0.2,12.33337939,1.18484884,1.183333333,8.063666667,16.23431495,-0.4863180344,3.89E-25
0.516,0,62.61636914,0.287410715,12.29,5.660827068,16.5954553,0.113710624,0.02310981475
0.516,0.004,59.70425678,0.3398893616,12.1,5.659728488,16.6023183,0.1517983551,0.002363474471
0.516,0.008,64.41873424,0.1603372542,12.4,5.660045948,16.61115706,0.04974428309,0.3216184047
0.516,0.012,63.59980838,0.186660144,12.35,5.665208855,16.60792398,-0.1075316479,0.03175872906
0.516,0.016,65.71333979,0.1350643745,12.48333333,5.669636591,16.60634085,0.008397114971,0.8672056407
0.516,0.02,66.52778634,0.22439639,12.54,5.671583124,16.61110276,0.04552567473,0.3644110572
0.516,0.024,67.77072569,0.2211213543,12.62,5.68154553,16.5963868,-0.1338665013,0.007413977821
0.516,0.028,68.14039499,0.1286554023,12.64,5.689853801,16.59818713,-0.04586258252,0.3608686771
0.516,0.032,64.2697569,0.1671252785,12.4,5.699340017,16.6209315,-0.04966567329,0.3223846476
0.516,0.036,70.05650442,0.07019192298,12.76,5.713884712,16.63281955,-0.1047290405,0.03651449412
0.516,0.04,69.1483777,0.1147865765,12.71,5.727756892,16.60318296,-0.1253539269,0.01221128603
0.516,0.044,74.66705045,-0.129242445,13.03,5.747756892,16.61093567,-0.1887664344,0.000148880037
0.516,0.048,75.40522717,-0.08983339874,13.08,5.76248538,16.59842105,-0.1079899393,0.03103370995
0.516,0.052,74.50100862,0.008570562671,13.04,5.791895833,16.60247285,-0.2537717882,2.69E-07
0.516,0.056,79.58966678,-0.1380586015,13.33,5.817134503,16.59206767,-0.2342387785,2.24E-06
0.516,0.06,76.2641455,-0.1700585466,13.1375,5.831992481,16.59664578,-0.06900128994,0.168940712
0.516,0.064,75.32754282,-0.03012688779,13.1,5.862781955,16.59442356,-0.1763844897,0.0004001006964
0.516,0.068,75.88763538,-0.04013713172,13.1375,5.890977444,16.60206767,-0.1129585478,0.02403978843
0.516,0.072,74.83378445,-0.04272259199,13.08,5.915609858,16.61662072,-0.06309446794,0.2085327297
0.516,0.076,80.22118679,0.005780808901,13.4,5.941766917,16.57975773,-0.1711935256,0.000594205927
0.516,0.08,77.30237307,0.01098197396,13.24,5.981503759,16.60708438,-0.1852947677,0.0001977074557
0.516,0.084,76.08935602,-0.2026562707,13.16,6.026399332,16.59272348,-0.1659655997,0.000875135383
0.516,0.088,80.51777532,0.03573311354,13.4375,6.051562239,16.61197577,-0.2923943559,2.64E-09
0.516,0.092,79.14127436,0.04690671533,13.37,6.113471178,16.60948622,-0.2675484072,5.74E-08
0.516,0.096,76.20323413,0.5339745239,13.225,6.155288221,16.59555138,-0.2668770259,6.21E-08
0.516,0.1,79.34947492,0.490547207,13.4125,6.204878864,16.60938179,-0.1567182002,0.001689209241
0.516,0.104,85.97002672,0.5849963173,13.79,6.269674185,16.60617794,-0.251738556,3.49E-07
0.516,0.108,88.56138997,0.5749522349,13.94,6.348842941,16.59017962,-0.158494881,0.001492700709
0.516,0.112,84.91833344,0.5510061095,13.75,6.407556391,16.6033751,-0.1866772266,0.0001766983305
0.516,0.116,98.55806858,0.586394655,14.475,6.47908939,16.60195071,-0.1451511059,0.003664350173
0.516,0.12,114.7492226,0.07975654827,15.2625,6.611370092,16.59929407,-0.1658879108,0.0008801107376
0.516,0.124,123.7444301,0.1361666193,15.68333333,6.669933166,16.58650376,-0.08933177778,0.07468931908
0.516,0.128,134.2391326,-0.1811039128,16.1375,6.782293233,16.61329574,-0.1777119196,0.0003609685736
0.516,0.132,167.9461832,-0.5092977069,17.5,6.947151211,16.5865873,-0.09835599338,0.049616186
0.516,0.136,178.164591,-0.5775746968,17.8875,7.030689223,16.5855848,-0.09967194756,0.04662881211
0.516,0.14,207.0989023,-0.7332754203,18.925,7.159920635,16.58959482,-0.1074785586,0.03184364418
0.516,0.144,263.4926565,-1.323737028,20.71666667,7.28799081,16.59484545,-0.1448809529,0.003728865019
0.516,0.148,294.0820088,-1.385178169,21.63333333,7.418563074,16.61224728,-0.2319260845,2.84E-06
0.516,0.152,306.8563617,-1.561893142,21.98333333,7.547979167,16.58106934,-0.2049274775,3.63E-05
0.516,0.156,314.094239,-1.544888193,22.19166667,7.6641875,16.60233083,-0.2558756493,2.12E-07
0.516,0.16,317.9448367,-1.247195402,22.33333333,7.748182957,16.59516708,-0.2481182255,5.19E-07
0.516,0.164,317.4095144,-1.089382941,22.33333333,7.790497076,16.60884712,-0.2856580222,6.26E-09
0.516,0.168,302.8331044,-0.6996356529,21.95,7.848642439,16.58620301,-0.352892646,3.82E-13
0.516,0.172,280.8274001,-0.4982316566,21.31666667,7.91754386,16.61690058,-0.3907652511,5.25E-16
0.516,0.176,126.5362222,-0.2402886861,15.80833333,7.951,16.58331662,-0.3858971018,1.18E-15
0.516,0.18,13.91756984,0.09880596279,8.266666667,7.971094403,16.59604845,-0.3952161664,2.28E-16
0.516,0.184,12.22367235,0.3256842054,8.05,7.995906433,16.58649123,-0.443201862,1.26E-20
0.516,0.188,10.86132043,0.7962763408,1.35,8.010192147,16.62669173,-0.4346088302,8.18E-20
0.516,0.192,12.09659033,1.096491845,1.2,8.038596491,16.61528404,-0.4867412374,4.00E-25
0.516,0.196,13.45159539,1.478903609,1.083333333,8.058730159,16.6198914,-0.4929817331,8.00E-26
0.516,0.2,15.02646545,1.958768169,1.016666667,8.083040936,16.61933584,-0.4777093609,3.88E-24
0.524,0,62.92402041,-0.04194739398,12.31,5.748479532,16.95684211,-0.01880788964,0.7080012875
0.524,0.004,69.95938553,0.04268648635,12.76,5.749803676,16.97050961,-0.04636757842,0.3555994139
0.524,0.008,66.71182871,0.05829674721,12.56,5.75163325,16.97021721,-0.02662199495,0.5959735841
0.524,0.012,68.41121889,0.0003903324362,12.6625,5.754210526,16.97572682,-0.06942607459,0.1663264735
0.524,0.016,68.73272838,-0.04790038398,12.68,5.760300752,16.95871345,-0.1173271027,0.0190599415
0.524,0.02,69.65974157,-0.04190184213,12.74,5.7713868,16.98051796,-0.01682090185,0.7376501242
0.524,0.024,71.00507553,0.04878493751,12.83,5.777113617,16.97057226,-0.06565627515,0.1906085426
0.524,0.028,72.37526696,-0.1436713314,12.9,5.787627402,16.97547201,-0.08453037169,0.09175448378
0.524,0.032,72.24250193,-0.1935506175,12.89,5.800388471,16.94328739,-0.1142531065,0.02245848487
0.524,0.036,69.86565269,-0.06742571494,12.76,5.816374269,16.95486216,-0.0326724926,0.515202234
0.524,0.04,77.7437293,-0.2940647332,13.2125,5.835902256,16.96555556,-0.1492405463,0.002803705072
0.524,0.044,70.82615456,-0.06810747098,12.825,5.847982456,16.97344612,-0.03835899212,0.4448090734
0.524,0.048,72.53742739,-0.1400447845,12.925,5.861666667,16.97562657,-0.05631260465,0.2617752745
0.524,0.052,71.29668265,-0.03846520916,12.8625,5.881315789,16.97996658,-0.05628533596,0.2620067099
0.524,0.056,72.06263007,-0.04602616228,12.9125,5.90387218,16.96197995,-0.1333329397,0.007655788869
0.524,0.06,72.13549877,-0.07657309076,12.92,5.933045113,16.98434837,-0.1089155356,0.02961248583
0.524,0.064,75.05663738,-0.05454777364,13.1,5.957857143,16.97988304,-0.1636283689,0.00103676318
0.524,0.068,76.83778895,-0.01784940821,13.2125,5.989736842,16.95787803,-0.1628651566,0.001095232296
0.524,0.072,74.9590469,0.0753977166,13.1125,6.009636591,16.96880117,-0.1273082908,0.01091627277
0.524,0.076,79.6182188,0.2964991269,13.4,6.05566416,16.9649081,-0.09568059763,0.05618403748
0.524,0.08,78.92350438,0.1660386824,13.36,6.086641604,16.96862573,-0.1896261931,0.0001386719705
0.524,0.084,79.23880707,0.2116349952,13.3875,6.133316625,16.95407268,-0.1832688694,0.0002327520774
0.524,0.088,83.91069399,0.3552909851,13.6625,6.187786132,16.9714411,-0.2519568812,3.40E-07
0.524,0.092,82.99793189,0.4261959408,13.62,6.23219716,16.96241019,-0.1183923056,0.01799159656
0.524,0.096,87.75970467,0.4209488901,13.8875,6.287568922,16.95559733,-0.1693492029,0.000682035795
0.524,0.1,86.59988131,0.3971484219,13.83,6.331311612,16.96307018,-0.218516532,1.06E-05
0.524,0.104,87.94138047,0.3159831893,13.91,6.411599833,16.99159566,-0.1350696544,0.006893581751
0.524,0.108,102.3077291,0.3998967213,14.6625,6.493132832,16.95035088,-0.1440948716,0.003922480999
0.524,0.112,108.4821148,0.2022539349,14.96666667,6.574724311,16.96190476,-0.2152448938,1.44E-05
0.524,0.116,119.2638679,0.04293605137,15.475,6.670588972,16.98802423,-0.1542900389,0.001996182658
0.524,0.12,131.3849848,-0.1787194067,16.0125,6.769640769,16.98243943,-0.1409011069,0.004806146865
0.524,0.124,141.4528582,-0.1955104593,16.45,6.869507101,16.9799457,-0.07730088472,0.1231837183
0.524,0.128,176.506227,-0.7014008034,17.8125,7.007631579,16.94622807,-0.1704222846,0.0006295736511
0.524,0.132,227.709236,-0.8853303604,19.6125,7.142406015,16.96051378,-0.188643893,0.000150391112
0.524,0.136,283.2089083,-1.215138329,21.32916667,7.278270833,16.9518254,-0.2048184857,3.67E-05
0.524,0.14,291.2479905,-1.384033362,21.55,7.40459482,16.98800334,-0.1495628547,0.002744396461
0.524,0.144,298.0056518,-1.510567842,21.73333333,7.506641604,16.953066,-0.2004700178,5.51E-05
0.524,0.148,309.674294,-1.399565798,22.08333333,7.595321637,16.96232247,-0.2424964683,9.49E-07
0.524,0.152,316.4348264,-1.244268032,22.29166667,7.696041667,16.97334586,-0.2820679689,9.43E-09
0.524,0.156,321.0472564,-1.115463854,22.43333333,7.776879699,16.96865497,-0.3086193834,2.98E-10
0.524,0.16,313.902997,-0.9076575731,22.25,7.827819549,16.95493317,-0.3090735164,2.80E-10
0.524,0.164,133.179982,-0.4799912916,16.08333333,7.882957393,16.9778875,-0.3677979355,3.16E-14
0.524,0.168,126.2990226,-0.2349022508,15.8,7.902443609,16.96127402,-0.4147567531,5.08E-18
0.524,0.172,14.66897421,0.06067079305,8.366666667,7.93625731,16.9721345,-0.4392844094,2.97E-20
0.524,0.176,12.15571851,0.3972796234,8.05,7.960568087,16.97312083,-0.39380277,2.98E-16
0.524,0.18,10.21165945,0.6744953964,1.441666667,7.980666667,16.9578279,-0.4512634923,1.84E-21
