,Hu0,a,error,skew,median,duration,r_value,p_value,swp
1492,0.732,0.052,3.008686555,1.701871973,6.866666667,7.378153718,0.1414271114,0.004649263282,26.03126566
1493,0.732,0.056,1.605234019,2.010712576,6.55,7.373036759,0.2457591865,6.69E-07,26.08318713
1494,0.732,0.06,2.685924715,2.444607327,6.25,7.385233918,0.2396024998,1.29E-06,26.03888889
1495,0.732,0.064,1.376595619,1.011058942,6.033333333,7.391875522,0.3198896219,6.05E-11,26.10843776
1496,0.732,0.068,1.326380598,1.593174392,5.833333333,7.410004177,0.2908523151,3.22E-09,26.064599
1497,0.732,0.072,2.69958841,0.4931310901,5.716666667,7.404991646,0.391347346,4.71E-16,26.04354637
1498,0.732,0.076,2.611294647,0.5887984817,5.65,7.42021721,0.409321362,1.50E-17,26.05440685
1499,0.732,0.08,1.557970902,0.3365996328,5.516666667,7.425918964,0.4382806558,3.70E-20,26.07322473
1500,0.732,0.084,1.573726102,0.3305465796,5.4,7.445614035,0.4774195918,4.17E-24,26.04557226
1501,0.732,0.088,1.972146173,0.1205901471,5.283333333,7.465998329,0.4825714959,1.15E-24,26.05908521
1502,0.732,0.092,1.702621263,0.253835204,5.216666667,7.474018379,0.5040391163,4.26E-27,26.0595447
1503,0.732,0.096,2.067925026,0.2021799676,5.15,7.486131997,0.5524947414,2.89E-33,25.9995614
1504,0.732,0.1,2.026174346,0.01636091723,5.1,7.49807853,0.560213391,2.41E-34,26.04621972
1505,0.732,0.104,2.469836272,0.03614054262,4.95,7.515204678,0.5639962403,6.97E-35,26.02339181
1506,0.732,0.108,2.517306058,-0.1181703654,4.983333333,7.518880535,0.5786167376,4.94E-37,26.06278195
1507,0.732,0.112,2.529786002,0.01164895981,4.916666667,7.536507937,0.6180567167,2.10E-43,26.05507519
1508,0.732,0.116,2.15865229,-0.1123284658,4.85,7.548788638,0.6134948567,1.27E-42,26.03966165
1509,0.732,0.12,2.571926892,0.06715858901,4.85,7.555137845,0.6423422823,8.43E-48,26.04122807
1510,0.732,0.124,3.440467501,-0.06663421592,4.8,7.566165414,0.6273821196,4.78E-45,26.06086048
1511,0.732,0.128,3.430178234,-0.0008438174811,4.716666667,7.577777778,0.6639049434,4.74E-52,26.0356934
1512,0.732,0.132,3.472585455,-0.1706464056,4.716666667,7.593233083,0.6912484092,5.60E-58,26.05002089
1513,0.732,0.136,3.076895671,0.00278520025,4.65,7.598496241,0.6953206234,6.43E-59,26.03631997
1514,0.732,0.14,3.0451817,-0.1063997427,4.633333333,7.619131161,0.7170457624,3.28E-64,26.05482456
1515,0.732,0.144,3.079541932,-0.05984148098,4.616666667,7.623308271,0.7274042625,6.50E-67,26.0466792
1516,0.732,0.148,3.059602752,-0.1319928509,4.583333333,7.638596491,0.7396091216,2.91E-70,26.08122389
1517,0.732,0.152,3.140550805,-0.08893243391,4.55,7.649122807,0.7397632264,2.63E-70,26.02556391
1518,0.732,0.156,4.356309449,-0.1800241889,4.55,7.660066834,0.7432323505,2.71E-71,26.04392231
1519,0.732,0.16,4.334022348,-0.114669099,4.516666667,7.672848789,0.7608763175,1.43E-76,26.03059733
1520,0.732,0.164,4.347200506,-0.09232247768,4.466666667,7.681203008,0.7567735703,2.64E-75,26.01831662
1521,0.732,0.168,4.772678377,-0.0152980129,4.483333333,7.692063492,0.7730936666,1.67E-80,26.08776107
1522,0.732,0.172,4.317035675,-0.1504429959,4.483333333,7.703333333,0.7777174276,2.93E-82,26.0302005
1523,0.732,0.176,4.817527957,-0.1816523992,4.45,7.712781955,0.7967404801,7.31E-89,26.04120833
1524,0.732,0.18,4.348231515,-0.1288162227,4.433333333,7.724394319,0.7855035744,9.29E-85,26.04302423
1525,0.732,0.184,4.353184356,-0.1206758651,4.433333333,7.738847118,0.7929063013,1.96E-87,26.03644528
1526,0.732,0.188,4.437443427,-0.1959896009,4.383333333,7.756140351,0.8187661098,1.03E-97,26.0514411
1527,0.732,0.192,4.397578217,-0.2018208006,4.4,7.752798663,0.8179672689,2.27E-97,26.06453634
1528,0.732,0.196,4.438039433,-0.1757360768,4.4,7.772848789,0.8245447712,3.10E-100,26.07437343
1529,0.732,0.2,4.411328837,-0.2120835965,4.35,7.78320802,0.8388432506,6.75E-107,26.04154135
1530,0.74,0,0.7783055621,-0.1595545042,13.7,7.778362573,-0.08642229154,0.0846907119,26.37944862
1531,0.74,0.004,0.8524967154,-0.08895038159,13.05,7.784565581,-0.01590787578,0.7514084989,26.41219716
1532,0.74,0.008,1.015713214,-0.1348101502,13.1,7.788053467,-0.0888140498,0.07639512937,26.38878446
1533,0.74,0.012,1.032795514,-0.08326976208,12.6,7.788471178,-0.005893031506,0.9065867278,26.36123642
1534,0.74,0.016,1.034653,-0.03433797862,11.625,7.782936508,-0.07755882957,0.1219340387,26.37777778
1535,0.74,0.02,1.116334209,0.05222379479,11.58333333,7.758646617,-0.1123898861,0.02476426218,26.38953634
1536,0.74,0.024,1.131929837,0.06379357794,11.1,7.753174603,-0.1059129688,0.03443639874,26.35824979
1537,0.74,0.028,1.486965257,0.1014152609,11,7.709753551,-0.05186884421,0.3013584483,26.35098162
1538,0.74,0.032,1.618205561,0.3065127129,10.31666667,7.660776942,-0.03703300757,0.4607174331,26.38030493
1539,0.74,0.036,1.646024837,0.5915261016,9.666666667,7.622827903,0.004680688508,0.9257416097,26.38788638
1540,0.74,0.04,1.914405414,0.5541103941,9,7.564160401,0.1393183518,0.005307408163,26.36789891
1541,0.74,0.044,4.312780223,0.9705402629,8.7875,7.512740184,0.1109772899,0.0266459212,26.39390142
1542,0.74,0.048,1.945331637,1.238693794,8,7.475208855,0.151484556,0.002413862031,26.41925647
1543,0.74,0.052,3.278908506,1.40268914,7.65,7.433834586,0.1139576402,0.0228112363,26.39989557
1544,0.74,0.056,5.900724996,1.586008043,7.25,7.401608187,0.2090360912,2.57E-05,26.39066416
1545,0.74,0.06,7.717222127,2.065921347,6.916666667,7.38644528,0.1806056001,0.00028769163,26.39822473
1546,0.74,0.064,3.037686367,2.224299188,6.633333333,7.386862991,0.1672843239,0.0007945478929,26.37428989
1547,0.74,0.068,1.913021084,2.02957058,6.4,7.380430242,0.2830844346,8.66E-09,26.36894319
1548,0.74,0.072,4.832938423,2.162648787,6.2,7.387761069,0.2834247773,8.30E-09,26.38270677
1549,0.74,0.076,2.896479273,1.230565207,6.033333333,7.399477861,0.383473074,2.00E-15,26.40497076
1550,0.74,0.08,2.77380793,0.326426854,5.95,7.399519632,0.446660981,5.82E-21,26.39352548
1551,0.74,0.084,2.841380346,0.5729622319,5.816666667,7.410380117,0.4445792282,9.25E-21,26.34732665
1552,0.74,0.088,2.874836023,0.4836201735,5.633333333,7.430200501,0.4510793956,2.15E-21,26.38418964
1553,0.74,0.092,2.802218844,0.3599589001,5.583333333,7.44352548,0.5187198444,7.31E-29,26.40597327
1554,0.74,0.096,2.950170576,0.08891161724,5.45,7.462740184,0.5363355129,4.26E-31,26.39337928
1555,0.74,0.1,1.867272717,0.2536924952,5.4,7.460985798,0.5237572955,1.73E-29,26.36152882
1556,0.74,0.104,2.192613388,0.1207243744,5.266666667,7.482372598,0.5643761952,6.15E-35,26.40659983
1557,0.74,0.108,2.16475784,0.1338627549,5.183333333,7.500417711,0.5612098649,1.74E-34,26.36280284
1558,0.74,0.112,2.152666986,0.07014146151,5.166666667,7.510609858,0.5956139582,1.14E-39,26.43805347
1559,0.74,0.116,2.148091106,0.07574767144,5.083333333,7.52556391,0.6293375543,2.13E-45,26.38732247
1560,0.74,0.12,2.635539626,-0.06737566309,5.05,7.535338346,0.6353987466,1.67E-46,26.39517544
1561,0.74,0.124,2.642119052,-0.04379141484,5,7.548955723,0.6551241959,2.81E-50,26.38606934
1562,0.74,0.128,2.61591226,-0.09879657088,4.95,7.561236424,0.6741998037,3.30E-54,26.39711779
1563,0.74,0.132,2.626370298,-0.03489105783,4.916666667,7.565413534,0.6668767015,1.15E-52,26.36583124
1564,0.74,0.136,3.462690201,-0.08795779876,4.866666667,7.584795322,0.6855083077,1.11E-56,26.41984127
1565,0.74,0.14,3.496674257,-0.1100204763,4.85,7.58512949,0.7060691681,1.78E-61,26.3894528
1566,0.74,0.144,3.534258108,-0.1739603658,4.85,7.599916458,0.7252685797,2.40E-66,26.41207185
1567,0.74,0.148,3.494843416,-0.05069166557,4.783333333,7.616541353,0.7307881779,7.99E-68,26.38473267
