Period,Value
23.5, 0.9528130671506353
23.6, 1.9691470054446432
23.7, 3
23.8, 7.940108892921959 
23.9, 12.89473684210526
24.0, 20.96188747731398
24.1, 29.98185117967332
24.2, 30.99818511796733
24.3, 26.99637023593467
24.4, 14.990925589836658
24.5, 6.987295825771324
24.6, 2.03266787658802
